Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,0.0001,0,0.0044,0,0,0,3.4083,0.0095,0,0,0.0056,0,0.0094,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/pelvis.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/pelvis.STL,,WAIST-1,Frame base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_wy,0.0061,0.0003,0.1879,0,0,0,9.8779,0.1556,0,-0.0015,0.1368,0,0.0457,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_wy.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_wy.STL,,trunk-1,Frame waist,waist,joint_wy,revolute,0,0,0.0619,0,0,0,pelvis,0,0,1,0,0,-2.79,2.79,,,,,,,,
link_ra1,0.0032,-0.0422,-0.0117,0,0,0,0.8976,0.001,0,0,0.0007,-0.0001,0.0009,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_ra1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_ra1.STL,,R1-1,Frame r1,r1,joint_ra1,revolute,0,-0.11963,0.3208,0,0,0,link_wy,0,0.99255,-0.12187,0,0,-2.88,2.88,,,,,,,,
link_ra2,-0.0005,-0.0016,-0.0678,0,0,0,0.7868,0.0012,0,0,0.0013,0,0.0007,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_ra2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_ra2.STL,,R2-1,Frame r2,r2,joint_ra2,revolute,0,-0.047187,-0.013786,0,0,0,link_ra1,1,0,0,0,0,-2.2515,0.175,,,,,,,,
link_ra3,0.0035415,0.0007384,-0.044591,0,0,0,0.3593,0.0009,0,0.0001,0.0008,0,0.0005,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_ra3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_ra3.STL,,R3-1,Frame r3,r3,joint_ra3,revolute,0,0,-0.1171,0,0,0,link_ra2,0,0,1,0,0,-2.618,2.618,,,,,,,,
link_ra4,0.0447,0.0015,-0.0087,0,0,0,1.48,0.0012,0.0001,0.0006,0.0046,0,0.0044,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_ra4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_ra4.STL,,R4-1,Frame r4,r4,joint_ra4,revolute,0.01924,0,-0.0979,0,0,0,link_ra3,0,1,0,0,0,-0.96,2.0944,,,,,,,,
link_ra5,0.025808,-0.0001686,0.00074876,0,0,0,0.27279,0.0002,0,0,0.0003,0,0.0003,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_ra5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_ra5.STL,,R5-1,Frame r5,r5,joint_ra5,revolute,0.138,0,-0.017415,0,0,0,link_ra4,1,0,0,0,0,-2.618,2.618,,,,,,,,
link_la1,0.0033,0.0422,-0.0117,0,0,0,0.8939,0.001,0,0,0.0007,0.0001,0.0009,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_la1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_la1.STL,,L1-1,Frame l1,l1,joint_la1,revolute,0,0.11963,0.3208,0,0,0,link_wy,0,0.99255,-0.12187,0,0,-2.88,2.88,,,,,,,,
link_la2,-0.0006,0.0016,-0.0673,0,0,0,0.7787,0.0012,0,0,0.0013,0,0.0007,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_la2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_la2.STL,,L2-1,Frame l2,l2,joint_la2,revolute,0,0.047187,-0.013786,0,0,0,link_la1,1,0,0,0,0,-0.175,2.2515,,,,,,,,
link_la3,0.0035409,-0.00073964,-0.044592,0,0,0,0.35928,0.0009,0,0.0001,0.0008,0,0.0005,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_la3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://SR-URDF 0410-02/meshes/link_la3.STL,,L3-1,Frame l3,l3,joint_la3,revolute,0,0,-0.1171,0,0,0,link_la2,0,0,1,0,0,-2.618,2.618,,,,,,,,
