clip,source,pick_index,start_frame,end_frame,start_s,end_s,duration_s,score,mean_activity,dof_span,body_span
360__pick000_001000_005000.npz,360.npz,0,50,250,1.0,5.0,4.0,1.111428681119815,0.6529897574339629,1.3789150729451491,0.8843727273121477
360__pick001_004340_006840.npz,360.npz,1,217,342,4.34,6.84,2.5,0.8619459994606798,0.4326165744726873,1.4116747828362428,0.7716297894716263
aini__pick000_028000_032000.npz,aini.npz,0,1400,1600,28.0,32.0,4.0,0.9061942694754788,0.5715676524843132,1.2899950845774426,0.1775173338378469
aini__pick001_005000_009000.npz,aini.npz,1,250,450,5.0,9.0,4.0,0.8819422891791728,0.5512093343034752,1.2657117676799712,0.1839373422646895
cekongfan__pick000_004340_006840.npz,cekongfan.npz,0,217,342,4.34,6.84,2.5,0.9926776313314262,0.5862786545725824,1.272523757657441,0.8042948348490366
cekongfan__pick001_002480_004980.npz,cekongfan.npz,1,124,249,2.48,4.98,2.5,0.3231654117922487,0.13141046500968126,0.6965383525289919,0.1413151751784608
ceshoufan__pick000_006020_009520.npz,ceshoufan.npz,0,301,476,6.02,9.52,3.5,1.2162213137554994,0.7055310582961825,1.6640474797408704,0.8942050634076198
ceshoufan__pick001_004340_006840.npz,ceshoufan.npz,1,217,342,4.34,6.84,2.5,0.9058385071398865,0.4238779172774174,1.606082966146262,0.8632933108881116
chaofeng__pick000_005580_008080.npz,chaofeng.npz,0,279,404,5.58,8.08,2.5,0.7205684653464469,0.5177323582264328,0.7270141907198273,0.17455512650699045
chaofeng__pick001_002000_006000.npz,chaofeng.npz,1,100,300,2.0,6.0,4.0,0.5487939678212103,0.30730025379576364,0.8341487802808052,0.16442638646190366
chi6__pick000_007000_011000.npz,chi6.npz,0,350,550,7.0,11.0,4.0,0.9772654369954991,0.6561149275249568,1.2169365101327616,0.18508804962659875
chi6__pick001_021080_026080.npz,chi6.npz,1,1054,1304,21.08,26.08,5.0,0.9662594241752083,0.630166982545093,1.2890313854873339,0.188574430217656
danshoudaoli__pick000_003100_005600.npz,danshoudaoli.npz,0,155,280,3.1,5.6,2.5,0.9626706340542177,0.5811063344188918,1.2090801036228305,0.7233218594050655
danshoudaoli__pick001_001240_003740.npz,danshoudaoli.npz,1,62,187,1.24,3.74,2.5,0.8037792389478182,0.45052909614578945,1.121768531753965,0.6509762430082385
houshoufan__pick000_006820_009320.npz,houshoufan.npz,0,341,466,6.82,9.32,2.5,1.110456863090237,0.7320258277495238,1.150810371193549,0.7801264073466883
houshoufan__pick001_004960_007460.npz,houshoufan.npz,1,248,373,4.96,7.46,2.5,0.7623104632628993,0.38044542275153065,1.1707345707261043,0.7764541757743185
huantuiti__pick000_003100_005600.npz,huantuiti.npz,0,155,280,3.1,5.6,2.5,0.9214532255341433,0.5744653831342026,1.3293322614677574,0.33247593404259534
huantuiti__pick001_001240_003740.npz,huantuiti.npz,1,62,187,1.24,3.74,2.5,0.39573343686607027,0.17335036726353048,0.8037539627403021,0.20254851369652896
hudieti__pick000_003100_005600.npz,hudieti.npz,0,155,280,3.1,5.6,2.5,1.1266619130733153,0.6644076437047701,1.5498837385446254,0.8068501443974674
hudieti__pick001_001240_003740.npz,hudieti.npz,1,62,187,1.24,3.74,2.5,0.5762285725273157,0.24069685462402118,1.2033637674808826,0.42405976271412027
jiequandao__pick000_014000_018000.npz,jiequandao.npz,0,700,900,14.0,18.0,4.0,1.0537997418071963,0.618311674725674,1.520880070069562,0.5420803537840645
jiequandao__pick001_017020_020020.npz,jiequandao.npz,1,851,1001,17.02,20.02,3.0,0.9240017060339326,0.5296054984654457,1.5268597707933267,0.3434950227321436
kick__pick000_000620_003120.npz,kick.npz,0,31,156,0.62,3.12,2.5,0.6293346644900643,0.4351631164168468,0.6507466290823196,0.21848148171169063
kick__pick001_002480_004980.npz,kick.npz,1,124,249,2.48,4.98,2.5,0.3119198734373021,0.18856897646519205,0.360291407727029,0.13361743617802857
lalacao__pick000_021080_026080.npz,lalacao.npz,0,1054,1304,21.08,26.08,5.0,0.9710442546214346,0.6366085974623737,1.2048949253866854,0.28971114721149205
lalacao__pick001_029000_033000.npz,lalacao.npz,1,1450,1650,29.0,33.0,4.0,0.9683074592173448,0.6189519514443722,1.2219383032263622,0.36645231418466817
lvdong__pick000_009920_014920.npz,lvdong.npz,0,496,746,9.92,14.92,5.0,0.9973501942824647,0.6529955409844399,1.2864745272444966,0.2470649856608361
lvdong__pick001_006200_011200.npz,lvdong.npz,1,310,560,6.2,11.2,5.0,0.9927399034379167,0.6596745978575418,1.2592834440140945,0.20805744518370678
mabu__pick000_002000_006000.npz,mabu.npz,0,100,300,2.0,6.0,4.0,0.7152185061548283,0.33500567469693365,1.4429042748701961,0.2775465098923693
mabu__pick001_004960_009960.npz,mabu.npz,1,248,498,4.96,9.96,5.0,0.5386690342030861,0.20073371528079612,1.251780962186825,0.2505275098994995
modi__pick000_003720_006220.npz,modi.npz,0,186,311,3.72,6.22,2.5,1.0323067318002728,0.5709043980393238,1.6011109563351524,0.7328676166261235
modi__pick001_001480_004480.npz,modi.npz,1,74,224,1.48,4.48,3.0,0.5626570235578834,0.24212301740564213,1.1755309760008696,0.3195187396804492
punch__pick000_000000_002500.npz,punch.npz,0,0,125,0.0,2.5,2.5,0.30829844848439736,0.19336222537667316,0.38486606864076434,0.04475339586380869
punch__pick001_000620_003120.npz,punch.npz,1,31,156,0.62,3.12,2.5,0.2930520451954626,0.17825370187282796,0.38447020099113655,0.044362020829382044
shanggouquan__pick000_000620_003120.npz,shanggouquan.npz,0,31,156,0.62,3.12,2.5,0.5787204381094236,0.3773837426293645,0.7298476668884573,0.16078108068245153
shanggouquan__pick001_002260_004760.npz,shanggouquan.npz,1,113,238,2.26,4.76,2.5,0.22032943326956198,0.1182923213992451,0.28800818486058194,0.08790316598800321
shuangshouzhuan__pick000_003100_005600.npz,shuangshouzhuan.npz,0,155,280,3.1,5.6,2.5,1.0246042169818494,0.6296584762653177,1.2299981079995632,0.7846407941107949
shuangshouzhuan__pick001_007440_012440.npz,shuangshouzhuan.npz,1,372,622,7.44,12.44,5.0,0.8919781739974797,0.5009587228272512,1.1297937016934156,0.7670714055436353
simplerun__pick000_004000_008000.npz,simplerun.npz,0,200,400,4.0,8.0,4.0,0.7859332093116742,0.6290187570733824,0.43975588954661204,0.12642182885979614
simplerun__pick001_007440_009940.npz,simplerun.npz,1,372,497,7.44,9.94,2.5,0.6225406494174991,0.449442207805058,0.610750550404191,0.13132221021068594
stagesquat__pick000_001240_006240.npz,stagesquat.npz,0,62,312,1.24,6.24,5.0,0.9461780337050179,0.808117084474527,0.34290681279051805,0.12986391114924725
stagesquat__pick001_005160_008660.npz,stagesquat.npz,1,258,433,5.16,8.66,3.5,0.5761801325735639,0.5010034509473454,0.12044805779679217,0.048913800445734526
stagestand__pick000_004960_009960.npz,stagestand.npz,0,248,498,4.96,9.96,5.0,0.8755256465747723,0.7657629304479637,0.23749545117733878,0.08175750594227187
stagestand__pick001_001240_006240.npz,stagestand.npz,1,62,312,1.24,6.24,5.0,0.8459346996220799,0.7392640326801017,0.22355465365842025,0.07973157473529378
taiquan__pick000_021080_023580.npz,taiquan.npz,0,1054,1179,21.08,23.58,2.5,0.9774321526009196,0.6010712958364152,1.4406163420366205,0.3799172557145357
taiquan__pick001_014880_017380.npz,taiquan.npz,1,744,869,14.88,17.38,2.5,0.973634551870192,0.6197873604346237,1.3644421984967978,0.331391678241392
tiyuetui__pick000_006200_008700.npz,tiyuetui.npz,0,310,435,6.2,8.7,2.5,1.0948375743299281,0.6711648958113737,1.3485262554300868,0.8181161828835806
tiyuetui__pick001_004340_006840.npz,tiyuetui.npz,1,217,342,4.34,6.84,2.5,0.49255840402534157,0.22840089697073265,0.9639228488440099,0.26748624857204656
xiandaiwu__pick000_088660_091160.npz,xiandaiwu.npz,0,4433,4558,88.66,91.16,2.5,1.1030912193509967,0.7380389796521885,1.36877068438385,0.4003206854802556
xiandaiwu__pick001_097680_100680.npz,xiandaiwu.npz,1,4884,5034,97.68,100.68,3.0,1.0847687427451636,0.7444205587545454,1.2532054840222648,0.3480472479077677
xiti__pick000_001240_003740.npz,xiti.npz,0,62,187,1.24,3.74,2.5,0.6243465266892244,0.3941789007768579,0.8491062591176318,0.19397582725893395
